#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
1,00007ffc 155eb400,"      LDC R1, c[0x0][0x37c]",0,1,25,Load/Store,32768,32,,,,,,,,
2,00007ffc 155eb410,"      S2UR UR4, SR_CTAID.X",0,1,3,Uniform Datapath,32768,32,,,,,,,,
3,00007ffc 155eb420,"      S2UR UR9, SR_CTAID.Y",0,1,1,Uniform Datapath,32768,32,,,,,,,,
4,00007ffc 155eb430,"      LDC R0, c[0x0][0x3b0]",0,2,3,Load/Store,32768,32,,,,,,,,
5,00007ffc 155eb440,"      LDC R6, c[0x0][0x3a8]",0,3,7,Load/Store,32768,32,,,,,,,,
6,00007ffc 155eb450,"      USHF.L.U32 UR4, UR4, 0x2, URZ",0,3,3,Uniform Datapath,32768,32,,,,,,,,
7,00007ffc 155eb460,"      ISETP.LE.AND P0, PT, R0, UR9, PT",0,3,13,Integer,32768,32,,,,,,,,
8,00007ffc 155eb470,"      ISETP.LE.OR P0, PT, R6, UR4, P0",0,2,14,Integer,32768,32,,,,,,,,
9,00007ffc 155eb480,@P0   EXIT,0,2,7,Control,32768,,,,,,,,,
10,00007ffc 155eb490,"      LDCU UR7, c[0x0][0x3ac]",0,2,1,Uniform Datapath,32768,32,,,,,,,,
11,00007ffc 155eb4a0,"      S2R R4, SR_TID.X",0,3,1,Miscellaneous,32768,32,,,,,,,,
12,00007ffc 155eb4b0,"      LDC R21, c[0x0][0x3b4]",0,4,1,Load/Store,32768,32,,,,,,,,
13,00007ffc 155eb4c0,"      SHF.R.S32.HI R0, RZ, 0x1f, R6",0,5,,Integer,32768,32,,,,,,,,
14,00007ffc 155eb4d0,"      LDC.64 R46, c[0x0][0x388]",0,7,7,Load/Store,32768,32,,,,,,,,
15,00007ffc 155eb4e0,"      USHF.R.S32.HI UR5, URZ, 0x1f, UR7",0,7,2,Uniform Datapath,32768,32,,,,,,,,
16,00007ffc 155eb4f0,"      ULEA.HI UR6, UR7, UR7, URZ, 0x1",0,7,2,Uniform Datapath,32768,32,,,,,,,,
17,00007ffc 155eb500,"      ULEA.HI UR5, UR5, UR7, URZ, 0x4",0,7,1,Uniform Datapath,32768,32,,,,,,,,
18,00007ffc 155eb510,"      USHF.R.S32.HI UR6, URZ, 0x1, UR6",0,7,,Uniform Datapath,32768,32,,,,,,,,
