#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
1,00007ffb 7b52d500,"      LDC R1, c[0x0][0x37c]",0,46,2,Load/Store,512,32,,,,,,,,,
2,00007ffb 7b52d510,"      LDCU.64 UR26, c[0x0][0x1600]",0,46,,Uniform Datapath,512,32,,,,,,,,,
3,00007ffb 7b52d520,"      LDC R43, c[0x0][0x1388]",0,47,,Load/Store,512,32,,,,,,,,,
4,00007ffb 7b52d530,"      LDCU.64 UR32, c[0x0][0x358]",0,47,,Uniform Datapath,512,32,,,,,,,,,
5,00007ffb 7b52d540,"      LDCU UR6, c[0x0][0xc0c]",0,47,,Uniform Datapath,512,32,,,,,,,,,
6,00007ffb 7b52d550,"      LDC R70, c[0x0][0xa48]",0,48,,Load/Store,512,32,,,,,,,,,
7,00007ffb 7b52d560,"      LDCU UR37, c[0x0][0x154c]",0,48,,Uniform Datapath,512,32,,,,,,,,,
8,00007ffb 7b52d570,"      LDCU UR5, c[0x0][0xc30]",0,48,,Uniform Datapath,512,32,,,,,,,,,
9,00007ffb 7b52d580,"      LDC R0, c[0x0][0x390]",0,49,,Load/Store,512,32,,,,,,,,,
10,00007ffb 7b52d590,"      UISETP.NE.U32.AND UP0, UPT, UR26, URZ, UPT",0,49,6,Uniform Datapath,512,32,,,,,,,,,
11,00007ffb 7b52d5a0,"      LDCU UR29, c[0x0][0x1560]",0,49,,Uniform Datapath,512,32,,,,,,,,,
12,00007ffb 7b52d5b0,"      LDC.64 R46, c[0x0][0x1370]",0,51,,Load/Store,512,32,,,,,,,,,
13,00007ffb 7b52d5c0,"      UISETP.NE.AND.EX UP0, UPT, UR27, URZ, UPT, UP0",0,51,,Uniform Datapath,512,32,,,,,,,,,
14,00007ffb 7b52d5d0,"      LDCU UR34, c[0x0][0xccc]",0,51,,Uniform Datapath,512,32,,,,,,,,,
15,00007ffb 7b52d5e0,"      LDCU UR13, c[0x0][0x1570]",0,51,,Uniform Datapath,512,32,,,,,,,,,
16,00007ffb 7b52d5f0,"      LDC.64 R4, c[0x0][0x1368]",0,53,,Load/Store,512,32,,,,,,,,,
17,00007ffb 7b52d600,"      LDCU UR38, c[0x0][0xc20]",0,53,,Uniform Datapath,512,32,,,,,,,,,
18,00007ffb 7b52d610,"      LDCU UR28, c[0x0][0x38c]",0,53,,Uniform Datapath,512,32,,,,,,,,,
19,00007ffb 7b52d620,"      LDC.64 R68, c[0x0][0xa30]",0,55,1,Load/Store,512,32,,,,,,,,,
20,00007ffb 7b52d630,"      LDCU UR35, c[0x0][0x1564]",0,55,,Uniform Datapath,512,32,,,,,,,,,
21,00007ffb 7b52d640,"      LDCU.64 UR14, c[0x0][0xa08]",0,55,1,Uniform Datapath,512,32,,,,,,,,,
22,00007ffb 7b52d650,"      LDC.64 R2, c[0x0][0xa28]",0,57,,Load/Store,512,32,,,,,,,,,
23,00007ffb 7b52d660,"      LDCU.64 UR22, c[0x0][0xa10]",0,57,,Uniform Datapath,512,32,,,,,,,,,
24,00007ffb 7b52d670,"      LDCU.64 UR18, c[0x0][0x1370]",0,57,,Uniform Datapath,512,32,,,,,,,,,
25,00007ffb 7b52d680,"      LDC.64 R44, c[0x0][0x1390]",0,59,1,Load/Store,512,32,,,,,,,,,
26,00007ffb 7b52d690,"      LDCU.64 UR16, c[0x0][0x1368]",0,59,,Uniform Datapath,512,32,,,,,,,,,
27,00007ffb 7b52d6a0,"      LDCU.64 UR24, c[0x0][0x1610]",0,59,,Uniform Datapath,512,32,,,,,,,,,
28,00007ffb 7b52d6b0,"      LDC.64 R66, c[0x0][0xa50]",0,61,,Load/Store,512,32,,,,,,,,,
29,00007ffb 7b52d6c0,"      LDCU.64 UR20, c[0x0][0x1618]",0,61,,Uniform Datapath,512,32,,,,,,,,,
30,00007ffb 7b52d6d0,"      LDCU.64 UR10, c[0x0][0x1328]",0,61,,Uniform Datapath,512,32,,,,,,,,,
31,00007ffb 7b52d6e0,"      LDCU.64 UR8, c[0x0][0x1568]",0,61,,Uniform Datapath,512,32,,,,,,,,,
32,00007ffb 7b52d6f0,"      LDCU.128 UR40, c[0x0][0xc10]",0,61,,Uniform Datapath,512,32,,,,,,,,,
33,00007ffb 7b52d700,"      LDCU.128 UR44, c[0x0][0x1550]",0,61,,Uniform Datapath,512,32,,,,,,,,,
34,00007ffb 7b52d710,"      BRA.U !UP0, 0x7ffb7b52d7f0",0,61,,Control,512,32,,,,,,,,,
35,00007ffb 7b52d720,"      ISETP.NE.U32.AND P0, PT, RZ, UR24, PT",0,61,3,Integer,512,32,,,,,,,,,
36,00007ffb 7b52d730,"      ISETP.NE.AND.EX P0, PT, RZ, UR25, PT, P0",0,61,,Integer,512,32,,,,,,,,,
37,00007ffb 7b52d740,"@!P0  LDC R6, c[0x0][0x1608]",0,61,,Load/Store,512,32,,,,,,,,,
38,00007ffb 7b52d750,"@!P0  FSETP.NEU.AND P1, PT, R6, RZ, PT",0,61,1,Floating Point,512,32,,,,,,,,,
39,00007ffb 7b52d760,@!P0  BRA 0x7ffb7b52d7e0,0,60,,Control,512,32,,,,,,,,,
40,00007ffb 7b52d770,"      ISETP.NE.U32.AND P0, PT, RZ, UR20, PT",0,60,,Integer,,,,,,,,,,,
41,00007ffb 7b52d780,"      ISETP.NE.AND P1, PT, R0, 0x1, PT",0,60,,Integer,,,,,,,,,,,
42,00007ffb 7b52d790,"      ISETP.NE.AND.EX P0, PT, RZ, UR21, PT, P0",0,59,,Integer,,,,,,,,,,,
43,00007ffb 7b52d7a0,"@P1   BRA P0, 0x7ffb7b535080",0,59,,Control,,,,,,,,,,,
