#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
1,00007ffc c55eb400,"      LDC R1, c[0x0][0x37c]",0,2,18,Load/Store,32768,32,,,,,,,,,
2,00007ffc c55eb410,"      S2UR UR9, SR_CTAID.Y",0,2,1,Uniform Datapath,32768,32,,,,,,,,,
3,00007ffc c55eb420,"      LDC R0, c[0x0][0x3b0]",0,3,3,Load/Store,32768,32,,,,,,,,,
4,00007ffc c55eb430,"      S2UR UR8, SR_CTAID.X",0,3,2,Uniform Datapath,32768,32,,,,,,,,,
5,00007ffc c55eb440,"      LDC R9, c[0x0][0x3a8]",0,4,4,Load/Store,32768,32,,,,,,,,,
6,00007ffc c55eb450,"      ISETP.LE.AND P0, PT, R0, UR9, PT",0,4,48,Integer,32768,32,,,,,,,,,
7,00007ffc c55eb460,"      ISETP.LE.OR P0, PT, R9, UR8, P0",0,3,21,Integer,32768,32,,,,,,,,,
8,00007ffc c55eb470,@P0   EXIT,0,3,4,Control,32768,,,,,,,,,,
9,00007ffc c55eb480,"      LDCU UR6, c[0x0][0x3ac]",0,3,2,Uniform Datapath,32768,32,,,,,,,,,
10,00007ffc c55eb490,"      S2R R8, SR_TID.X",0,4,,Miscellaneous,32768,32,,,,,,,,,
11,00007ffc c55eb4a0,"      LDC R18, c[0x0][0x3b4]",0,5,2,Load/Store,32768,32,,,,,,,,,
12,00007ffc c55eb4b0,"      BSSY.RECONVERGENT B0, 0x7ffcc55eca20",0,5,,Control,32768,32,,,,,,,,,
13,00007ffc c55eb4c0,"      LDCU.64 UR12, c[0x0][0x358]",0,5,,Uniform Datapath,32768,32,,,,,,,,,
14,00007ffc c55eb4d0,"      IMAD.U32 R16, RZ, RZ, UR8",0,6,1,Integer,32768,32,,,,,,,,,
15,00007ffc c55eb4e0,"      IMAD.MOV.U32 R7, RZ, RZ, RZ",0,7,1,Integer,32768,32,,,,,,,,,
16,00007ffc c55eb4f0,"      LDCU.128 UR20, c[0x0][0x390]",0,7,2,Uniform Datapath,32768,32,,,,,,,,,
17,00007ffc c55eb500,"      IMAD.MOV.U32 R17, RZ, RZ, RZ",0,8,1,Integer,32768,32,,,,,,,,,
18,00007ffc c55eb510,"      USHF.R.S32.HI UR4, URZ, 0x1f, UR6",0,8,4,Uniform Datapath,32768,32,,,,,,,,,
19,00007ffc c55eb520,"      ULEA.HI UR5, UR6, UR6, URZ, 0x1",0,8,2,Uniform Datapath,32768,32,,,,,,,,,
20,00007ffc c55eb530,"      ULEA.HI UR4, UR4, UR6, URZ, 0x4",0,8,,Uniform Datapath,32768,32,,,,,,,,,
21,00007ffc c55eb540,"      USHF.R.S32.HI UR5, URZ, 0x1, UR5",0,8,,Uniform Datapath,32768,32,,,,,,,,,
22,00007ffc c55eb550,"      USHF.R.S32.HI UR4, URZ, 0x4, UR4",0,8,1,Uniform Datapath,32768,32,,,,,,,,,
23,00007ffc c55eb560,"      SHF.R.S32.HI R0, RZ, 0x1f, R18",0,9,1,Integer,32768,32,,,,,,,,,
24,00007ffc c55eb570,"      USHF.R.S32.HI UR10, URZ, 0x1f, UR5",0,9,,Uniform Datapath,32768,32,,,,,,,,,
25,00007ffc c55eb580,"      USHF.R.S32.HI UR6, URZ, 0x1f, UR4",0,9,,Uniform Datapath,32768,32,,,,,,,,,
26,00007ffc c55eb590,"      UIMAD.WIDE.U32 UR14, UR5, UR9, URZ",0,9,3,Uniform Datapath,32768,32,,,,,,,,,
27,00007ffc c55eb5a0,"      ISETP.GE.AND P0, PT, R8, UR4, PT",0,9,,Integer,32768,32,,,,,,,,,
