ID,0
Time,2025-Nov-15 21:36:29
API Call ID,1373
Estimated Speedup [%],83.01
Runtime Improvement [us],246.33
Issues Detected [issue],12
Function Name,gemv_nvfp4_kernel
Mangled Name,_Z17gemv_nvfp4_kernelPKaS0_S0_S0_P6__halfiiii
Demangled Name,gemv_nvfp4_kernel..
Original Demangled Name,"gemv_nvfp4_kernel(const signed char *, const signed char *, const signed char *, const signed char *, __half *, int, int, int, int)"
Process,[317650] python3.10
Thread ID [thread],317650
Device Name,NVIDIA B200
CUprogram,0x555561b5e150
CUfunction,0x55556250c020
Grid Offset,"    0,    0,    0"
Grid Size," 4096,    8,    1"
Block Size [block],"   32,    1,    1"
Grid Dimensions,3
gpc__cycles_elapsed.max [cycle],"339,579"
gpu__time_duration.sum [us],296.74
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],72.88
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],63.69
FBSP.TriageCompute.dram__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{449}
FBSP.TriageCompute.dram__throughput.avg.pct_of_peak_sustained_elapsed [%],{449}
FBSP.TriageCompute.dram__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{449}
FE_B.TriageCompute.gr__ctas_launched_realtime.sum [block],"32,768 {449}"
GPC_B.TriageCompute.gpc__cgas_active_realtime.avg,0 {449}
GPC_B.TriageCompute.gpc__cgas_launched.sum,0 {449}
LTS.TriageCompute.lts__average_t_sector_hit_rate_realtime.pct [%],{449}
LTS.TriageCompute.lts__average_t_sector_hit_rate_srcunit_tex_realtime.pct [%],{449}
LTS.TriageCompute.lts__t_sector_throughput_srcnode_fbp.avg.pct_of_peak_sustained_elapsed [%],{449}
LTS.TriageCompute.lts__t_sector_throughput_srcunit_gcc.avg.pct_of_peak_sustained_elapsed [%],{449}
LTS.TriageCompute.lts__t_sector_throughput_srcunit_tex.avg.pct_of_peak_sustained_elapsed [%],{449}
LTS.TriageCompute.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{449}
SM_A.TriageCompute.l1tex__data_pipe_lsu_wavefronts.avg,"212,005.01 {449}"
SM_A.TriageCompute.l1tex__data_pipe_lsu_wavefronts_mem_lgds.avg,"206,472.83 {449}"
SM_A.TriageCompute.l1tex__data_pipe_lsu_wavefronts_mem_shared.avg,"5,532.18 {449}"
SM_A.TriageCompute.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{449}
SM_A.TriageCompute.sm__inst_executed_pipe_uniform_realtime.avg.pct_of_peak_sustained_elapsed [%],0.68 {449}
SM_A.TriageCompute.sm__inst_executed_pipe_xu_realtime.avg.pct_of_peak_sustained_elapsed [%],0 {449}
SM_A.TriageCompute.sm__mem_tensor_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed [%],0 {449}
SM_B.TriageCompute.l1tex__t_sector_hit_rate.pct [%],{449}
SM_B.TriageCompute.l1tex__t_sectors.sum [sector],"118,390,784 {449}"
SM_B.TriageCompute.l1tex__t_sectors_lookup_hit.sum [sector],"114,076,443 {449}"
SM_B.TriageCompute.l1tex__t_sectors_lookup_miss.sum [sector],"4,314,341 {449}"
SM_C.TriageCompute.smsp__pipe_tensor_subpipe_dmma_cycles_active.avg [cycle],0 {449}
SYSLTS.TriageCompute.syslts__t_sector_throughput_aperture_peer.avg.pct_of_peak_sustained_elapsed [%],{449}
SYSLTS.TriageCompute.syslts__t_sector_throughput_aperture_sysmem.avg.pct_of_peak_sustained_elapsed [%],{449}
TPC.TriageCompute.sm__cycles_active.avg [cycle],"324,450.53 {449}"
TPC.TriageCompute.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],45.66 {449}
TPC.TriageCompute.sm__inst_executed_realtime.avg.pct_of_peak_sustained_elapsed [%],48.36 {449}
TPC.TriageCompute.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],871.17 {449}
TPC.TriageCompute.sm__pipe_fp64_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed [%],0 {449}
TPC.TriageCompute.sm__pipe_tensor_cycles_active_realtime.avg.pct_of_peak_sustained_elapsed [%],0 {449}
