#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
1,00007ffc 5992d500,"      LDC R1, c[0x0][0x37c]",0,46,1,Load/Store,896,32,,,,,,,,,
2,00007ffc 5992d510,"      LDCU.64 UR26, c[0x0][0x1600]",0,46,,Uniform Datapath,896,32,,,,,,,,,
3,00007ffc 5992d520,"      LDC R43, c[0x0][0x1388]",0,47,,Load/Store,896,32,,,,,,,,,
4,00007ffc 5992d530,"      LDCU.64 UR32, c[0x0][0x358]",0,47,,Uniform Datapath,896,32,,,,,,,,,
5,00007ffc 5992d540,"      LDCU UR6, c[0x0][0xc0c]",0,47,,Uniform Datapath,896,32,,,,,,,,,
6,00007ffc 5992d550,"      LDC R70, c[0x0][0xa48]",0,48,,Load/Store,896,32,,,,,,,,,
7,00007ffc 5992d560,"      LDCU UR37, c[0x0][0x154c]",0,48,,Uniform Datapath,896,32,,,,,,,,,
8,00007ffc 5992d570,"      LDCU UR5, c[0x0][0xc30]",0,48,,Uniform Datapath,896,32,,,,,,,,,
9,00007ffc 5992d580,"      LDC R0, c[0x0][0x390]",0,49,,Load/Store,896,32,,,,,,,,,
10,00007ffc 5992d590,"      UISETP.NE.U32.AND UP0, UPT, UR26, URZ, UPT",0,49,11,Uniform Datapath,896,32,,,,,,,,,
11,00007ffc 5992d5a0,"      LDCU UR29, c[0x0][0x1560]",0,49,,Uniform Datapath,896,32,,,,,,,,,
12,00007ffc 5992d5b0,"      LDC.64 R46, c[0x0][0x1370]",0,51,1,Load/Store,896,32,,,,,,,,,
13,00007ffc 5992d5c0,"      UISETP.NE.AND.EX UP0, UPT, UR27, URZ, UPT, UP0",0,51,,Uniform Datapath,896,32,,,,,,,,,
14,00007ffc 5992d5d0,"      LDCU UR34, c[0x0][0xccc]",0,51,,Uniform Datapath,896,32,,,,,,,,,
15,00007ffc 5992d5e0,"      LDCU UR13, c[0x0][0x1570]",0,51,,Uniform Datapath,896,32,,,,,,,,,
16,00007ffc 5992d5f0,"      LDC.64 R4, c[0x0][0x1368]",0,53,,Load/Store,896,32,,,,,,,,,
17,00007ffc 5992d600,"      LDCU UR38, c[0x0][0xc20]",0,53,,Uniform Datapath,896,32,,,,,,,,,
